indica-PHL,AY749209,AY749247,AY749285,AY749323
indica-CHN,AY749210,AY749248,AY749286,AY749324
indica-IDN,AY749211,AY749249,AY749287,AY749325
indica-IND,AY749212,AY749250,AY749288,AY749326
japonica-FRA,AY749213,AY749251,AY749289,AY749327
japonica-GRC,AY749214,AY749252,AY749290,AY749328
japonica-VNM,AY749215,AY749253,AY749291,AY749329
rufipogon-IND1,AY749216,AY749254,AY749292,AY749330
rufipogon-TAI,AY749217,AY749255,AY749293,AY749331
rufipogon-THA,AY749218,AY749256,AY749294,AY749332
rufipogon-IND2,AY749219,AY749257,AY749295,AY749333
rufipogon-CHN,AY749220,AY749258,AY749296,AY749334
rufipogon-LAO,AY749221,AY749259,AY749297,AY749335
rufipogon-MMR,AY749222,AY749260,AY749298,AY749336
nivara-LKA1,AY749223,AY749261,AY749299,AY749337
nivara-THA,AY749224,AY749262,AY749300,AY749338
nivara-LKA2,AY749225,AY749263,AY749301,AY749339
nivara-CHN,AY749226,AY749264,AY749302,AY749340
nivara-IND,AY749227,AY749265,AY749303,AY749341
longistaminata-CIV,AY749228,AY749266,AY749304,AY749342
glumaepatula-COL,AY749229,AY749267,AY749305,AY749343
glumaepatula-BRA,AY749230,AY749268,AY749306,AY749344
glumaepatula-CUB,AY749231,AY749269,AY749307,AY749345
glaberrima-WAF,AY749232,AY749270,AY749308,AY749346
glaberrima-BFA,AY749233,AY749271,AY749309,AY749347
longistaminata-KEN,AY749234,AY749272,AY749310,AY749348
barthii-SDN,AY749235,AY749273,AY749311,AY749349
barthii-MLI,AY749236,AY749274,AY749312,AY749350
barthii-CMR,AY749237,AY749275,AY749313,AY749351
longistaminata-MLI,AY749238,AY749276,AY749314,AY749352
longistaminata-NGA1,AY749239,AY749277,AY749315,AY749353
longistaminata-ETH,AY749240,AY749278,AY749316,AY749354
longistaminata-NGA2,AY749241,AY749279,AY749317,AY749355
meridionalis-AUS1,AY749242,AY749280,AY749318,AY749356
meridionalis-AUS2,AY749243,AY749281,AY749319,AY749357
meridionalis-AUS3,AY749244,AY749282,AY749320,AY749358
australiensis,AY749245,AY749283,AY749321,AY749359
punctata,AY749246,AY749284,AY749322,AY749360
